,EmployeeID,Department,HireDate,Salary,CountryOfOperation,ProductID,Tenure
90,91,Sales,2020-03-31,78126,Germany,154,4
91,92,Sales,2020-04-01,41099,China,235,4
92,93,Production,2020-04-02,35462,Germany,167,4
93,94,Logistics,2020-04-03,58493,Japan,255,4
94,95,Quality Control,2020-04-04,50591,India,401,4
95,96,Sales,2020-04-05,57395,Japan,904,4
96,97,Human Resources,2020-04-06,77822,India,996,4
97,98,Production,2020-04-07,47545,China,720,4
98,99,Sales,2020-04-08,64114,China,101,4
99,100,Human Resources,2020-04-09,54035,Germany,173,4
100,101,Sales,2020-04-10,56630,Germany,705,4
101,102,Production,2020-04-11,55747,USA,644,4
102,103,Logistics,2020-04-12,62914,Japan,438,4
103,104,Production,2020-04-13,43207,China,46,4
104,105,Quality Control,2020-04-14,67866,Japan,674,4
105,106,Human Resources,2020-04-15,43683,Japan,542,4
106,107,Sales,2020-04-16,31914,USA,826,4
107,108,Sales,2020-04-17,75055,USA,283,4
108,109,Human Resources,2020-04-18,58238,Germany,707,4
109,110,Sales,2020-04-19,69696,India,224,4
110,111,Production,2020-04-20,59598,USA,807,4
111,112,Human Resources,2020-04-21,50258,China,197,4
112,113,Production,2020-04-22,54539,India,309,4
113,114,Production,2020-04-23,63532,USA,90,4
114,115,Human Resources,2020-04-24,75109,India,970,4
115,116,Logistics,2020-04-25,57575,USA,175,4
116,117,Sales,2020-04-26,44458,Germany,142,4
117,118,Logistics,2020-04-27,56381,USA,74,4
118,119,Production,2020-04-28,60549,India,595,4
119,120,Quality Control,2020-04-29,52869,Germany,79,4
120,121,Quality Control,2020-04-30,54769,Germany,331,4
121,122,Sales,2020-05-01,34586,Japan,381,4
122,123,Quality Control,2020-05-02,50967,Japan,878,4
123,124,Human Resources,2020-05-03,78146,China,84,4
124,125,Quality Control,2020-05-04,76160,China,383,4
125,126,Human Resources,2020-05-05,63551,Japan,725,4
126,127,Quality Control,2020-05-06,60485,India,620,4
127,128,Logistics,2020-05-07,55051,Japan,112,4
128,129,Production,2020-05-08,42779,Japan,819,4
129,130,Sales,2020-05-09,55051,Japan,390,4
130,131,Sales,2020-05-10,79990,India,962,4
131,132,Sales,2020-05-11,49084,Japan,983,4
132,133,Production,2020-05-12,55051,Japan,411,4
133,134,Quality Control,2020-05-13,64767,China,855,4
134,135,Quality Control,2020-05-14,62548,USA,294,4
135,136,Logistics,2020-05-15,53155,India,198,4
136,137,Quality Control,2020-05-16,60659,USA,194,4
137,138,Human Resources,2020-05-17,42174,Germany,658,4
138,139,Sales,2020-05-18,38248,USA,413,4
139,140,Human Resources,2020-05-19,36746,China,715,4
140,141,Sales,2020-05-20,78435,India,103,4
141,142,Logistics,2020-05-21,56579,China,97,4
142,143,Sales,2020-05-22,68622,India,272,4
143,144,Logistics,2020-05-23,41771,Japan,482,4
144,145,Quality Control,2020-05-24,54769,Germany,231,4
145,146,Logistics,2020-05-25,53163,India,54,4
146,147,Logistics,2020-05-26,61143,China,858,4
147,148,Logistics,2020-05-27,41633,Germany,71,4
148,149,Logistics,2020-05-28,76916,Japan,174,4
149,150,Human Resources,2020-05-29,53741,India,55,4
150,151,Production,2020-05-30,38082,Japan,545,4
151,152,Sales,2020-05-31,79128,India,944,4
152,153,Quality Control,2020-06-01,45842,Germany,775,4
153,154,Sales,2020-06-02,70342,China,330,4
154,155,Production,2020-06-03,60629,Germany,653,4
155,156,Quality Control,2020-06-04,41407,Germany,617,4
156,157,Sales,2020-06-05,46779,Germany,543,4
157,158,Sales,2020-06-06,33283,India,730,4
158,159,Human Resources,2020-06-07,51909,China,729,4
159,160,Quality Control,2020-06-08,58710,China,337,4
160,161,Sales,2020-06-09,54206,India,685,4
161,162,Human Resources,2020-06-10,49745,India,32,4
162,163,Logistics,2020-06-11,30418,Germany,835,4
163,164,Logistics,2020-06-12,31155,China,680,4
164,165,Quality Control,2020-06-13,68380,Japan,249,4
165,166,Logistics,2020-06-14,51883,Japan,476,4
166,167,Production,2020-06-15,56991,India,875,4
167,168,Human Resources,2020-06-16,51774,India,841,4
168,169,Quality Control,2020-06-17,71743,USA,648,4
169,170,Human Resources,2020-06-18,68265,USA,672,4
170,171,Logistics,2020-06-19,75462,Japan,54,4
171,172,Quality Control,2020-06-20,73136,Japan,841,4
172,173,Human Resources,2020-06-21,74371,Germany,508,4
173,174,Quality Control,2020-06-22,61577,USA,424,4
174,175,Logistics,2020-06-23,44955,China,837,4
175,176,Logistics,2020-06-24,31030,India,902,4
176,177,Sales,2020-06-25,54769,Germany,348,4
177,178,Quality Control,2020-06-26,79589,China,573,4
178,179,Human Resources,2020-06-27,49580,China,50,4
179,180,Sales,2020-06-28,74654,Japan,14,4
180,181,Quality Control,2020-06-29,50272,China,554,4
181,182,Human Resources,2020-06-30,53437,USA,982,4
182,183,Quality Control,2020-07-01,69352,USA,149,4
183,184,Production,2020-07-02,60807,USA,565,4
184,185,Sales,2020-07-03,76579,Germany,258,4
185,186,Production,2020-07-04,63620,India,237,4
186,187,Logistics,2020-07-05,30173,Germany,193,4
187,188,Quality Control,2020-07-06,75988,Japan,130,4
188,189,Quality Control,2020-07-07,47395,India,261,4
189,190,Human Resources,2020-07-08,75544,Germany,439,4
190,191,Logistics,2020-07-09,55505,Japan,157,4
191,192,Human Resources,2020-07-10,34898,India,522,4
192,193,Production,2020-07-11,78261,USA,692,4
193,194,Human Resources,2020-07-12,39975,USA,867,4
194,195,Sales,2020-07-13,50558,Germany,844,4
195,196,Sales,2020-07-14,65498,India,383,4
196,197,Quality Control,2020-07-15,55689,Japan,464,4
197,198,Human Resources,2020-07-16,43956,China,82,4
198,199,Sales,2020-07-17,67161,Japan,828,4
199,200,Logistics,2020-07-18,45734,India,853,4
200,201,Quality Control,2020-07-19,31043,India,704,4
201,202,Production,2020-07-20,56347,USA,386,4
202,203,Human Resources,2020-07-21,74365,India,26,4
203,204,Quality Control,2020-07-22,30622,Germany,578,4
204,205,Production,2020-07-23,54769,Germany,282,4
205,206,Production,2020-07-24,67725,Japan,521,4
206,207,Production,2020-07-25,69754,Japan,38,4
207,208,Production,2020-07-26,71966,USA,401,4
208,209,Quality Control,2020-07-27,63737,Germany,926,4
209,210,Sales,2020-07-28,51782,India,819,4
210,211,Human Resources,2020-07-29,51152,Japan,9,4
211,212,Human Resources,2020-07-30,68985,Japan,910,4
212,213,Sales,2020-07-31,61869,Japan,81,4
213,214,Production,2020-08-01,46671,China,314,4
214,215,Logistics,2020-08-02,58175,India,737,4
215,216,Human Resources,2020-08-03,56347,USA,159,4
216,217,Quality Control,2020-08-04,31595,Germany,971,4
217,218,Human Resources,2020-08-05,50738,USA,187,4
218,219,Production,2020-08-06,66633,Germany,27,4
219,220,Quality Control,2020-08-07,71991,Japan,907,4
220,221,Human Resources,2020-08-08,70764,India,148,4
221,222,Human Resources,2020-08-09,33790,China,973,4
222,223,Logistics,2020-08-10,59082,Japan,862,4
223,224,Sales,2020-08-11,54636,Japan,441,4
224,225,Logistics,2020-08-12,40028,USA,365,4
225,226,Sales,2020-08-13,68282,Japan,330,4
226,227,Sales,2020-08-14,32157,India,212,4
227,228,Quality Control,2020-08-15,54641,Germany,488,4
228,229,Human Resources,2020-08-16,59956,China,201,4
229,230,Quality Control,2020-08-17,55740,India,680,4
230,231,Sales,2020-08-18,33343,Japan,127,4
231,232,Sales,2020-08-19,42365,China,63,4
232,233,Production,2020-08-20,63925,Japan,418,4
233,234,Sales,2020-08-21,36371,India,40,4
234,235,Logistics,2020-08-22,74284,India,448,4
235,236,Logistics,2020-08-23,54251,India,555,4
236,237,Sales,2020-08-24,47481,USA,387,4
237,238,Human Resources,2020-08-25,75710,India,258,4
238,239,Logistics,2020-08-26,35095,Germany,857,4
239,240,Production,2020-08-27,56347,USA,72,4
240,241,Sales,2020-08-28,43371,India,732,4
241,242,Production,2020-08-29,69226,China,628,4
242,243,Logistics,2020-08-30,74519,Japan,599,4
243,244,Sales,2020-08-31,78298,Germany,80,4
244,245,Sales,2020-09-01,54252,India,953,4
245,246,Human Resources,2020-09-02,55640,Japan,92,4
246,247,Quality Control,2020-09-03,59072,USA,915,4
247,248,Human Resources,2020-09-04,41512,Japan,961,4
248,249,Sales,2020-09-05,59994,Germany,922,4
249,250,Quality Control,2020-09-06,35255,Germany,448,4
250,251,Logistics,2020-09-07,78961,USA,984,4
251,252,Logistics,2020-09-08,35616,Japan,431,4
252,253,Human Resources,2020-09-09,56347,USA,512,4
253,254,Production,2020-09-10,34583,China,6,4
254,255,Production,2020-09-11,76056,Japan,821,4
255,256,Human Resources,2020-09-12,64029,India,822,4
256,257,Human Resources,2020-09-13,58432,China,589,4
257,258,Production,2020-09-14,56347,USA,483,4
258,259,Human Resources,2020-09-15,53532,Japan,629,4
259,260,Logistics,2020-09-16,57974,Germany,590,4
260,261,Human Resources,2020-09-17,60650,USA,648,4
261,262,Logistics,2020-09-18,32201,Japan,491,4
262,263,Logistics,2020-09-19,71636,Germany,331,4
263,264,Quality Control,2020-09-20,56439,India,638,4
264,265,Quality Control,2020-09-21,36360,USA,82,4
265,266,Logistics,2020-09-22,56347,USA,843,4
266,267,Sales,2020-09-23,76249,China,917,4
267,268,Quality Control,2020-09-24,39012,Japan,598,4
268,269,Quality Control,2020-09-25,54066,Japan,647,4
269,270,Sales,2020-09-26,73700,Germany,112,4
270,271,Production,2020-09-27,43605,China,29,4
271,272,Sales,2020-09-28,69837,USA,9,4
272,273,Quality Control,2020-09-29,63176,China,631,4
273,274,Production,2020-09-30,72857,China,138,4
274,275,Production,2020-10-01,33403,India,535,4
275,276,Human Resources,2020-10-02,37264,USA,196,4
276,277,Human Resources,2020-10-03,48956,Germany,901,4
277,278,Human Resources,2020-10-04,58778,Japan,397,4
278,279,Quality Control,2020-10-05,45582,Germany,994,4
279,280,Logistics,2020-10-06,65814,USA,694,4
280,281,Production,2020-10-07,32673,Germany,987,4
281,282,Logistics,2020-10-08,56421,Japan,42,4
282,283,Human Resources,2020-10-09,56498,Germany,396,4
283,284,Logistics,2020-10-10,56731,Japan,841,4
284,285,Logistics,2020-10-11,36147,USA,604,4
285,286,Logistics,2020-10-12,74501,China,824,4
286,287,Quality Control,2020-10-13,38516,China,978,4
287,288,Logistics,2020-10-14,79206,USA,400,4
288,289,Human Resources,2020-10-15,76649,Germany,146,4
289,290,Human Resources,2020-10-16,67179,Germany,927,4
290,291,Quality Control,2020-10-17,40179,India,746,4
291,292,Logistics,2020-10-18,71247,Japan,190,4
292,293,Production,2020-10-19,52504,China,613,4
293,294,Logistics,2020-10-20,47375,India,56,4
294,295,Human Resources,2020-10-21,54769,Germany,381,4
295,296,Logistics,2020-10-22,71251,China,535,4
296,297,Quality Control,2020-10-23,56844,Japan,389,4
297,298,Production,2020-10-24,57382,USA,537,4
298,299,Human Resources,2020-10-25,55859,China,147,4
299,300,Production,2020-10-26,42920,Japan,336,4
300,301,Human Resources,2020-10-27,59982,Germany,80,4
301,302,Sales,2020-10-28,51361,Germany,876,4
302,303,Logistics,2020-10-29,77403,India,56,4
303,304,Production,2020-10-30,43649,Japan,286,4
304,305,Human Resources,2020-10-31,57504,Japan,956,4
305,306,Quality Control,2020-11-01,48489,Japan,674,4
306,307,Human Resources,2020-11-02,62956,Germany,235,4
307,308,Logistics,2020-11-03,60557,India,511,4
308,309,Production,2020-11-04,67929,Germany,210,4
309,310,Logistics,2020-11-05,30711,Germany,449,4
310,311,Logistics,2020-11-06,53399,Japan,547,4
311,312,Human Resources,2020-11-07,51776,Japan,930,4
312,313,Quality Control,2020-11-08,41271,Germany,326,3
313,314,Quality Control,2020-11-09,52850,China,738,3
314,315,Production,2020-11-10,75191,Japan,607,3
315,316,Human Resources,2020-11-11,74943,India,235,3
316,317,Quality Control,2020-11-12,79346,Germany,897,3
317,318,Production,2020-11-13,72798,India,730,3
318,319,Quality Control,2020-11-14,52322,Japan,722,3
319,320,Sales,2020-11-15,68226,USA,258,3
320,321,Logistics,2020-11-16,40981,India,977,3
321,322,Quality Control,2020-11-17,72279,China,494,3
322,323,Logistics,2020-11-18,49928,India,509,3
323,324,Human Resources,2020-11-19,51656,Japan,472,3
324,325,Logistics,2020-11-20,62967,India,736,3
325,326,Production,2020-11-21,44701,India,377,3
326,327,Quality Control,2020-11-22,42621,Japan,413,3
327,328,Logistics,2020-11-23,59499,USA,934,3
328,329,Sales,2020-11-24,56347,USA,811,3
329,330,Quality Control,2020-11-25,64549,Japan,84,3
330,331,Logistics,2020-11-26,63982,China,914,3
331,332,Production,2020-11-27,78388,USA,26,3
332,333,Quality Control,2020-11-28,43720,China,247,3
333,334,Quality Control,2020-11-29,54601,China,675,3
334,335,Quality Control,2020-11-30,56347,USA,892,3
335,336,Quality Control,2020-12-01,79360,USA,906,3
336,337,Production,2020-12-02,60133,Germany,791,3
337,338,Sales,2020-12-03,66574,Germany,168,3
338,339,Production,2020-12-04,65418,Germany,849,3
339,340,Production,2020-12-05,78801,Germany,585,3
340,341,Logistics,2020-12-06,39428,Japan,202,3
341,342,Production,2020-12-07,44732,Germany,791,3
342,343,Quality Control,2020-12-08,34221,China,267,3
343,344,Human Resources,2020-12-09,71918,Germany,590,3
344,345,Logistics,2020-12-10,50368,India,648,3
345,346,Sales,2020-12-11,60159,China,143,3
346,347,Human Resources,2020-12-12,54576,Japan,824,3
347,348,Human Resources,2020-12-13,43498,Germany,103,3
348,349,Production,2020-12-14,34303,USA,669,3
349,350,Human Resources,2020-12-15,58225,Germany,131,3
350,351,Human Resources,2020-12-16,47015,Germany,606,3
351,352,Logistics,2020-12-17,74709,Germany,8,3
352,353,Logistics,2020-12-18,75311,Germany,55,3
353,354,Human Resources,2020-12-19,51283,India,458,3
354,355,Quality Control,2020-12-20,30776,India,883,3
355,356,Human Resources,2020-12-21,68738,India,583,3
356,357,Logistics,2020-12-22,63419,China,921,3
357,358,Logistics,2020-12-23,43433,USA,373,3
358,359,Production,2020-12-24,55463,China,473,3
359,360,Human Resources,2020-12-25,33640,USA,186,3
360,361,Sales,2020-12-26,62386,USA,251,3
361,362,Quality Control,2020-12-27,47639,Germany,795,3
362,363,Sales,2020-12-28,44438,Germany,877,3
363,364,Logistics,2020-12-29,51901,Japan,127,3
364,365,Human Resources,2020-12-30,33881,USA,552,3
365,366,Logistics,2020-12-31,55934,Japan,96,3
366,367,Logistics,2021-01-01,72028,USA,641,3
367,368,Quality Control,2021-01-02,56437,Germany,956,3
368,369,Quality Control,2021-01-03,78335,Germany,388,3
369,370,Logistics,2021-01-04,68018,USA,322,3
370,371,Human Resources,2021-01-05,71750,USA,880,3
371,372,Quality Control,2021-01-06,44301,India,174,3
372,373,Production,2021-01-07,39737,China,762,3
373,374,Sales,2021-01-08,65485,Japan,814,3
374,375,Production,2021-01-09,65682,India,662,3
375,376,Production,2021-01-10,56609,India,942,3
376,377,Logistics,2021-01-11,54539,India,393,3
377,378,Human Resources,2021-01-12,47835,India,526,3
378,379,Quality Control,2021-01-13,73354,Japan,757,3
379,380,Logistics,2021-01-14,62449,USA,412,3
380,381,Sales,2021-01-15,34238,India,438,3
381,382,Logistics,2021-01-16,58029,Germany,878,3
382,383,Production,2021-01-17,46606,USA,153,3
383,384,Production,2021-01-18,50791,India,895,3
384,385,Logistics,2021-01-19,73860,Japan,5,3
385,386,Sales,2021-01-20,54769,Germany,87,3
386,387,Logistics,2021-01-21,61007,Germany,198,3
387,388,Sales,2021-01-22,55764,China,176,3
388,389,Quality Control,2021-01-23,37846,China,663,3
389,390,Human Resources,2021-01-24,64390,India,625,3
390,391,Quality Control,2021-01-25,55502,Japan,314,3
391,392,Sales,2021-01-26,75711,India,435,3
392,393,Quality Control,2021-01-27,42511,India,227,3
393,394,Logistics,2021-01-28,67167,India,366,3
394,395,Human Resources,2021-01-29,45282,India,610,3
395,396,Sales,2021-01-30,53999,Germany,368,3
396,397,Logistics,2021-01-31,73925,USA,605,3
397,398,Human Resources,2021-02-01,73577,China,35,3
398,399,Human Resources,2021-02-02,45286,China,695,3
399,400,Quality Control,2021-02-03,30013,Japan,734,3
400,401,Human Resources,2021-02-04,69518,Germany,64,3
401,402,Production,2021-02-05,43424,USA,604,3
402,403,Logistics,2021-02-06,46513,China,471,3
403,404,Quality Control,2021-02-07,63865,Germany,833,3
404,405,Human Resources,2021-02-08,75939,USA,632,3
405,406,Production,2021-02-09,64749,China,5,3
406,407,Logistics,2021-02-10,61582,USA,154,3
407,408,Production,2021-02-11,47186,Japan,277,3
408,409,Logistics,2021-02-12,73529,India,106,3
409,410,Sales,2021-02-13,60379,Germany,786,3
410,411,Logistics,2021-02-14,48106,Japan,939,3
411,412,Production,2021-02-15,48366,USA,640,3
412,413,Human Resources,2021-02-16,38933,Japan,67,3
413,414,Logistics,2021-02-17,75559,China,639,3
414,415,Production,2021-02-18,35806,India,99,3
415,416,Quality Control,2021-02-19,38578,USA,340,3
416,417,Human Resources,2021-02-20,62193,USA,259,3
417,418,Quality Control,2021-02-21,67892,India,438,3
418,419,Quality Control,2021-02-22,31035,India,172,3
419,420,Human Resources,2021-02-23,68346,USA,477,3
420,421,Quality Control,2021-02-24,70278,China,403,3
421,422,Human Resources,2021-02-25,36132,Japan,992,3
422,423,Human Resources,2021-02-26,43468,China,159,3
423,424,Sales,2021-02-27,76182,China,902,3
424,425,Human Resources,2021-02-28,58968,Japan,615,3
425,426,Human Resources,2021-03-01,55051,Japan,671,3
426,427,Sales,2021-03-02,79639,China,938,3
427,428,Production,2021-03-03,60798,China,673,3
428,429,Logistics,2021-03-04,60508,India,119,3
429,430,Logistics,2021-03-05,47693,Japan,56,3
430,431,Production,2021-03-06,47495,India,857,3
431,432,Sales,2021-03-07,33054,USA,838,3
432,433,Quality Control,2021-03-08,79217,USA,387,3
433,434,Production,2021-03-09,33019,India,784,3
434,435,Sales,2021-03-10,55051,Japan,635,3
435,436,Production,2021-03-11,63689,Germany,810,3
436,437,Quality Control,2021-03-12,51311,Japan,632,3
437,438,Sales,2021-03-13,76203,Japan,604,3
438,439,Logistics,2021-03-14,60277,China,388,3
439,440,Sales,2021-03-15,69033,USA,147,3
440,441,Production,2021-03-16,37594,Japan,337,3
441,442,Logistics,2021-03-17,76661,China,797,3
442,443,Human Resources,2021-03-18,37825,India,205,3
443,444,Human Resources,2021-03-19,63325,China,21,3
444,445,Logistics,2021-03-20,40922,India,744,3
445,446,Quality Control,2021-03-21,41484,China,779,3
446,447,Sales,2021-03-22,45855,USA,836,3
447,448,Logistics,2021-03-23,40748,USA,136,3
448,449,Human Resources,2021-03-24,76265,Japan,958,3
449,450,Logistics,2021-03-25,65176,USA,75,3
450,451,Sales,2021-03-26,40926,China,651,3
451,452,Logistics,2021-03-27,76624,India,417,3
452,453,Human Resources,2021-03-28,56995,USA,323,3
453,454,Logistics,2021-03-29,41245,Japan,357,3
454,455,Production,2021-03-30,67132,Japan,819,3
455,456,Quality Control,2021-03-31,63442,Japan,91,3
456,457,Human Resources,2021-04-01,56911,Germany,205,3
457,458,Sales,2021-04-02,55051,Japan,801,3
458,459,Sales,2021-04-03,48658,China,490,3
459,460,Logistics,2021-04-04,75443,India,308,3
460,461,Logistics,2021-04-05,33100,Germany,66,3
461,462,Human Resources,2021-04-06,75637,Japan,697,3
462,463,Sales,2021-04-07,34884,USA,430,3
463,464,Quality Control,2021-04-08,65919,USA,71,3
464,465,Logistics,2021-04-09,61098,Germany,400,3
465,466,Production,2021-04-10,41765,China,145,3
466,467,Quality Control,2021-04-11,56467,USA,667,3
467,468,Logistics,2021-04-12,54601,China,716,3
468,469,Production,2021-04-13,33379,Germany,331,3
469,470,Sales,2021-04-14,30640,USA,909,3
470,471,Sales,2021-04-15,41043,Germany,910,3
471,472,Human Resources,2021-04-16,47183,USA,209,3
472,473,Logistics,2021-04-17,62061,USA,316,3
473,474,Quality Control,2021-04-18,40581,India,478,3
474,475,Quality Control,2021-04-19,51223,Japan,348,3
475,476,Human Resources,2021-04-20,32684,Germany,996,3
476,477,Sales,2021-04-21,69285,China,329,3
477,478,Production,2021-04-22,57495,China,324,3
478,479,Production,2021-04-23,67402,Japan,12,3
479,480,Logistics,2021-04-24,59894,China,40,3
480,481,Human Resources,2021-04-25,68201,China,998,3
481,482,Logistics,2021-04-26,54244,Japan,922,3
482,483,Logistics,2021-04-27,71134,Japan,498,3
483,484,Production,2021-04-28,65519,India,40,3
484,485,Human Resources,2021-04-29,30391,China,202,3
485,486,Sales,2021-04-30,42613,Germany,406,3
486,487,Quality Control,2021-05-01,55816,China,433,3
487,488,Production,2021-05-02,37413,USA,961,3
488,489,Sales,2021-05-03,69696,USA,955,3
489,490,Production,2021-05-04,61191,China,5,3
490,491,Sales,2021-05-05,37952,Japan,375,3
491,492,Human Resources,2021-05-06,36456,Japan,265,3
492,493,Quality Control,2021-05-07,37747,Japan,399,3
493,494,Quality Control,2021-05-08,78666,USA,883,3
494,495,Production,2021-05-09,66961,USA,300,3
495,496,Quality Control,2021-05-10,63195,USA,541,3
496,497,Sales,2021-05-11,30389,Japan,813,3
497,498,Quality Control,2021-05-12,54539,India,53,3
498,499,Human Resources,2021-05-13,73522,USA,878,3
499,500,Sales,2021-05-14,49197,USA,447,3
500,501,Quality Control,2021-05-15,37708,Japan,165,3
501,502,Production,2021-05-16,58401,China,187,3
502,503,Sales,2021-05-17,49352,Japan,283,3
503,504,Human Resources,2021-05-18,72104,USA,730,3
504,505,Sales,2021-05-19,40070,China,153,3
505,506,Human Resources,2021-05-20,35148,China,342,3
506,507,Human Resources,2021-05-21,47527,Germany,448,3
507,508,Production,2021-05-22,52325,India,470,3
508,509,Logistics,2021-05-23,78330,India,286,3
509,510,Quality Control,2021-05-24,55051,Japan,533,3
510,511,Sales,2021-05-25,68931,Japan,623,3
511,512,Sales,2021-05-26,61612,Japan,924,3
512,513,Sales,2021-05-27,35790,Japan,424,3
513,514,Human Resources,2021-05-28,41034,India,782,3
514,515,Production,2021-05-29,34294,Japan,867,3
515,516,Logistics,2021-05-30,63599,Japan,512,3
516,517,Logistics,2021-05-31,46072,Germany,644,3
517,518,Human Resources,2021-06-01,38295,Japan,781,3
518,519,Human Resources,2021-06-02,36897,Germany,552,3
519,520,Logistics,2021-06-03,59566,USA,666,3
520,521,Sales,2021-06-04,76276,China,139,3
521,522,Logistics,2021-06-05,41788,China,679,3
522,523,Quality Control,2021-06-06,55886,India,956,3
523,524,Quality Control,2021-06-07,35087,Japan,280,3
524,525,Human Resources,2021-06-08,58887,China,798,3
525,526,Sales,2021-06-09,40521,Japan,554,3
526,527,Production,2021-06-10,68952,Germany,871,3
527,528,Sales,2021-06-11,77502,China,587,3
528,529,Production,2021-06-12,54769,Germany,379,3
529,530,Logistics,2021-06-13,33761,Japan,20,3
530,531,Production,2021-06-14,78166,USA,274,3
531,532,Logistics,2021-06-15,56972,Germany,599,3
532,533,Sales,2021-06-16,39104,Japan,665,3
533,534,Human Resources,2021-06-17,42415,India,368,3
534,535,Logistics,2021-06-18,49550,Germany,577,3
535,536,Human Resources,2021-06-19,69166,USA,827,3
536,537,Sales,2021-06-20,31064,USA,942,3
537,538,Quality Control,2021-06-21,79642,India,255,3
